Полный адрес,Адрес ТП,Источник теплоснабжения,Балансодержатель,UNOM,ЦТП,Вид ТП,№ ОДС,geoData,geodata_center,id_administration,id_Municipal,ID ODS
"город Москва, Щёлковское шоссе, дом 46","9-я Парковая ул., д.57, корп.5",ТЭЦ №23,ПАО «МОЭК»,29921.0,04-06-0603/012,ЦТП,ОДС №13-Северное Измайлово,"{coordinates=[[[37.792319172, 55.809651813], [37.792406317, 55.809653887], [37.792465049, 55.809655467], [37.792716265, 55.809661711], [37.792779079, 55.809663271], [37.793026243, 55.809669244], [37.793076873, 55.809670544], [37.793161962, 55.809672622], [37.793170753, 55.809561672], [37.792327966, 55.809540863], [37.792319172, 55.809651813]]], type=Polygon}","{coordinates=[37.792744963, 55.809606742], type=Point}",1.0,3.0,143494674.0
"город Москва, улица Константина Федина, дом 2, корпус 2","ул. Константина Федина, д.1, корп.2, стр.2",ТЭЦ №23,ПАО «МОЭК»,27133.0,04-06-0603/014,ЦТП,ОДС №13-Северное Измайлово,"{coordinates=[[[37.79100596, 55.80576296], [37.791234856, 55.805765839], [37.791238594, 55.805657462], [37.791239856, 55.805622103], [37.791243251, 55.80553426], [37.791244116, 55.805512584], [37.791327162, 55.805513528], [37.791328014, 55.805494133], [37.791332406, 55.805402307], [37.791181471, 55.805398953], [37.791134898, 55.805397923], [37.791072095, 55.805396642], [37.791020446, 55.805395624], [37.790948054, 55.805399216], [37.790941272, 55.80550475], [37.791024301, 55.805507404], [37.791022042, 55.805542766], [37.791019748, 55.805573576], [37.791011951, 55.805680813], [37.791010578, 55.805701349], [37.79100596, 55.80576296]]], type=Polygon}","{coordinates=[37.791129389, 55.805597839], type=Point}",1.0,3.0,143494674.0
"город Москва, Щёлковское шоссе, дом 44, корпус 4","Щёлковское шоссе, д.44, корп.4",ТЭЦ №23,ПАО «МОЭК»,29919.0,04-06-0603/013,ЦТП,ОДС №13-Северное Измайлово,"{coordinates=[[[37.791541703, 55.809155185], [37.791746323, 55.809158129], [37.791769084, 55.808682416], [37.791568524, 55.808676041], [37.791565416, 55.808735368], [37.791564052, 55.808757044], [37.791556479, 55.808893936], [37.791555113, 55.808915613], [37.791546157, 55.80907191], [37.791544801, 55.809094728], [37.791541703, 55.809155185]]], type=Polygon}","{coordinates=[37.791652411, 55.808993762], type=Point}",1.0,3.0,143494674.0
"город Москва, улица Николая Химушина, дом 13, корпус 3","Открытое шоссе, д.24, корп.14, стр.2",ТЭЦ №23,ПАО «МОЭК»,27926.0,04-01-0605/023,ЦТП,ОДС №14-Метрогородок,"{coordinates=[[[37.760722299, 55.823184239], [37.760743156, 55.823195019], [37.760776456, 55.823174704], [37.760811246, 55.823153246], [37.760844051, 55.823133494], [37.760869779, 55.823117757], [37.760891474, 55.823104888], [37.760865549, 55.82309126], [37.760931128, 55.823051474], [37.76094842, 55.82306056], [37.760998882, 55.823029666], [37.761065982, 55.822989019], [37.761115422, 55.822958969], [37.761094564, 55.82294819], [37.761129387, 55.822927013], [37.760994172, 55.822856569], [37.760877106, 55.822927548], [37.760833222, 55.822954148], [37.760541116, 55.823131575], [37.760684961, 55.823206843], [37.760722299, 55.823184239]]], type=Polygon}","{coordinates=[37.760836006, 55.82304057], type=Point}",1.0,4.0,143494693.0
"город Москва, Открытое шоссе, дом 24, корпус 3","Открытое шоссе, д.24, корп.3, стр.1",ТЭЦ №23,ПАО «МОЭК»,64042.0,04-01-0605/015,ИТП,ОДС №14-Метрогородок,"{coordinates=[[[37.754212423, 55.821577848], [37.754245978, 55.821595481], [37.754227512, 55.821606621], [37.754269379, 55.821628608], [37.754213732, 55.821662053], [37.754265239, 55.821689562], [37.754287476, 55.821675824], [37.754314187, 55.821689561], [37.754346419, 55.821669071], [37.754399913, 55.821697167], [37.754422416, 55.821683577], [37.754536592, 55.821743526], [37.754513168, 55.821757658], [37.754559631, 55.821782048], [37.754506617, 55.821813353], [37.754556824, 55.821840526], [37.754578618, 55.821827427], [37.754607497, 55.821842654], [37.754639008, 55.821823714], [37.754684418, 55.821847551], [37.754706698, 55.821834095], [37.754782021, 55.821873629], [37.75490278, 55.8218007], [37.754860964, 55.821778754], [37.75487417, 55.821770787], [37.754674089, 55.821665811], [37.754655702, 55.821676914], [37.754570374, 55.821632156], [37.754590238, 55.821620142], [37.754394369, 55.82151742], [37.754377729, 55.82152729], [37.754336747, 55.821505818], [37.754212423, 55.821577848]]], type=Polygon}","{coordinates=[37.754583831, 55.821693365], type=Point}",1.0,4.0,143494693.0
"город Москва, улица Николая Химушина, дом 21, корпус 2","ул. Николая Химушина, д.15, корп.1, стр.2",ТЭЦ №23,ПАО «МОЭК»,27938.0,04-01-0605/013,ЦТП,ОДС №14-Метрогородок,"{coordinates=[[[37.765791803, 55.825308143], [37.765933131, 55.825381691], [37.766510283, 55.825031403], [37.766368954, 55.824957855], [37.766300335, 55.824999352], [37.766106619, 55.825116971], [37.765899772, 55.825242617], [37.765860919, 55.825266365], [37.765791803, 55.825308143]]], type=Polygon}","{coordinates=[37.766134491, 55.825179794], type=Point}",1.0,4.0,143494693.0
"город Москва, улица Николая Химушина, дом 9, корпус 2","ул. Николая Химушина, д.5, корп.1, стр.1",ТЭЦ №23,ПАО «МОЭК»,27920.0,04-01-0605/012,ЦТП,ОДС №14-Метрогородок,"{coordinates=[[[37.75883237, 55.821896418], [37.75945204, 55.822225626], [37.759499468, 55.822197582], [37.759580708, 55.822148923], [37.759510551, 55.822111724], [37.759529717, 55.822100264], [37.759468721, 55.822067887], [37.759449046, 55.822079909], [37.759291969, 55.821996406], [37.759311135, 55.821984945], [37.75925827, 55.821956831], [37.759236063, 55.821970281], [37.759062729, 55.821878251], [37.759080886, 55.821867669], [37.759033621, 55.821842385], [37.759019484, 55.821850975], [37.758960523, 55.821819717], [37.758847003, 55.821887545], [37.75883237, 55.821896418]]], type=Polygon}","{coordinates=[37.759223526, 55.822032146], type=Point}",1.0,4.0,143494693.0
"город Москва, улица Николая Химушина, дом 3, корпус 1","ул. Николая Химушина, д.3, корп.2, стр.1",ТЭЦ №23,ПАО «МОЭК»,27912.0,04-01-0605/017,ЦТП,ОДС №14-Метрогородок,"{coordinates=[[[37.755871677, 55.819438466], [37.755850028, 55.819441933], [37.755306534, 55.819769033], [37.75544479, 55.819843161], [37.755527537, 55.819793941], [37.755752582, 55.819660871], [37.756020505, 55.819502344], [37.756124019, 55.819441362], [37.756135049, 55.819436778], [37.756224865, 55.819384685], [37.756274825, 55.819355776], [37.756365141, 55.819303978], [37.75634074, 55.819289206], [37.756358884, 55.819276625], [37.756283678, 55.819240276], [37.756267544, 55.819250572], [37.756228913, 55.819230128], [37.755871677, 55.819438466]]], type=Polygon}","{coordinates=[37.755752247, 55.819581607], type=Point}",1.0,4.0,143494693.0
"город Москва, улица Николая Химушина, дом 23","Открытое шоссе, д.26, корп.10, стр.1",ТЭЦ №23,ПАО «МОЭК»,64031.0,04-01-0605/008,ЦТП,ОДС №14-Метрогородок,"{coordinates=[[[37.766584906, 55.82559226], [37.766586481, 55.825603168], [37.766533798, 55.825604582], [37.766547553, 55.825703439], [37.766600234, 55.825702025], [37.766601575, 55.825721226], [37.766660917, 55.825719934], [37.766665779, 55.825768224], [37.766777199, 55.825765403], [37.766772539, 55.825716773], [37.766821188, 55.825714218], [37.766820241, 55.825697744], [37.76704329, 55.825689489], [37.767046251, 55.825707102], [37.767108825, 55.825704905], [37.76710218, 55.825647183], [37.767125392, 55.825646642], [37.767129851, 55.825695613], [37.767240262, 55.825692224], [37.767219516, 55.825573477], [37.767315804, 55.825568934], [37.76730948, 55.825533253], [37.767275368, 55.825534008], [37.76726239, 55.825442877], [37.767299536, 55.825440423], [37.76729481, 55.825408833], [37.767375152, 55.825405067], [37.767368523, 55.825342801], [37.767285969, 55.825344633], [37.767282253, 55.825313614], [37.767246325, 55.825314026], [37.76723053, 55.825220848], [37.767262831, 55.825218614], [37.767257703, 55.82518657], [37.767340672, 55.825181783], [37.767328992, 55.825121216], [37.767246235, 55.82512339], [37.767241705, 55.825093732], [37.767206384, 55.825094258], [37.76719531, 55.825033804], [37.767027371, 55.825039967], [37.767029886, 55.825068485], [37.76701091, 55.825069826], [37.767034741, 55.825226295], [37.767055732, 55.825226092], [37.767065198, 55.825284726], [37.76704582, 55.825285611], [37.767068018, 55.825447076], [37.767088809, 55.825446079], [37.767097265, 55.82550528], [37.767079097, 55.825506394], [37.767083888, 55.825573997], [37.766971658, 55.82557818], [37.766973024, 55.825590565], [37.766868468, 55.825593167], [37.7668675, 55.825582373], [37.766584906, 55.82559226]]], type=Polygon}","{coordinates=[37.767215012, 55.82537485], type=Point}",1.0,4.0,143494693.0
"город Москва, Открытое шоссе, дом 28, корпус 9","Открытое шоссе, д.28, корп.3, стр.2",ТЭЦ №23,ПАО «МОЭК»,18183.0,04-01-0605/006,ЦТП,ОДС №14-Метрогородок,"{coordinates=[[[37.76768698, 55.826788338], [37.767839974, 55.826861858], [37.767907576, 55.826817224], [37.767948434, 55.826790331], [37.768094679, 55.826693617], [37.768137555, 55.826665299], [37.768307502, 55.826553429], [37.768398774, 55.826493059], [37.76824578, 55.826419541], [37.76768698, 55.826788338]]], type=Polygon}","{coordinates=[37.768090344, 55.826609364], type=Point}",1.0,4.0,143494693.0
"город Москва, Союзный проспект, дом 4","Мартеновская ул., д.22, стр.3",ТЭЦ №22,ПАО «МОЭК»,24412.0,04-04-0224/017,ЦТП,ОДС №14-Новогиреево,"{coordinates=[[[37.804599834, 55.748966898], [37.804983754, 55.74983058], [37.805047069, 55.749972438], [37.80528688, 55.750510819], [37.805476775, 55.750483824], [37.805316208, 55.750120056], [37.80537477, 55.75011136], [37.805352139, 55.750061226], [37.80529407, 55.750069353], [37.804795283, 55.748939038], [37.804599834, 55.748966898]]], type=Polygon}","{coordinates=[37.804894967, 55.749398739], type=Point}",1.0,2.0,143494695.0
"город Москва, Утренняя улица, дом 22, корпус 2","Новогиреевская ул., д.54, стр.2",ТЭЦ №22,ПАО «МОЭК»,26960.0,04-04-0224/037,ЦТП,ОДС №14-Новогиреево,"{coordinates=[[[37.799200925, 55.748779293], [37.799259871, 55.748678554], [37.799298941, 55.748685644], [37.799323302, 55.74864382], [37.799284235, 55.748636729], [37.799345529, 55.748531044], [37.799121477, 55.748489825], [37.798976872, 55.748738074], [37.799200925, 55.748779293]]], type=Polygon}","{coordinates=[37.799190784, 55.748583887], type=Point}",1.0,2.0,143494695.0
"город Москва, улица Алексея Дикого, дом 5, корпус 2","Союзный просп., д.10, стр.2",ТЭЦ №22,ПАО «МОЭК»,6545.0,04-04-0224/006,ЦТП,ОДС №14-Новогиреево,"{coordinates=[[[37.809997482, 55.748376229], [37.810000066, 55.74837678], [37.809843752, 55.748620707], [37.810055418, 55.748661811], [37.810120815, 55.748558408], [37.810152749, 55.748565169], [37.810181729, 55.748525179], [37.810146277, 55.748517847], [37.810208198, 55.748419593], [37.810052575, 55.74838774], [37.810050276, 55.748388334], [37.810000307, 55.748376025], [37.809997482, 55.748376229]]], type=Polygon}","{coordinates=[37.81003566, 55.748521513], type=Point}",1.0,2.0,143494695.0
"город Москва, улица Алексея Дикого, дом 7, корпус 3","ул. Алексея Дикого, д.7, стр.4",ТЭЦ №22,ПАО «МОЭК»,6548.0,04-04-0224/035,ЦТП,ОДС №14-Новогиреево,"{coordinates=[[[37.811752495, 55.749014831], [37.811828411, 55.748897147], [37.811854736, 55.748902501], [37.811893745, 55.748910954], [37.811929692, 55.748855544], [37.811862833, 55.748841451], [37.811945756, 55.748713197], [37.811850022, 55.748693486], [37.811842035, 55.748706049], [37.811713406, 55.748680141], [37.811636996, 55.748798395], [37.811607621, 55.748792479], [37.811598909, 55.748805653], [37.811576643, 55.748839325], [37.811606029, 55.748846382], [37.811534101, 55.748957494], [37.81166881, 55.748985098], [37.811661838, 55.748996238], [37.811752495, 55.749014831]]], type=Polygon}","{coordinates=[37.811755511, 55.748850963], type=Point}",1.0,2.0,143494695.0
"город Москва, аллея Первой Маёвки, дом 13, корпус 2","аллея Первой Маёвки, д.15, стр.9-10",ТЭЦ №22,ПАО «МОЭК»,19145.0,04-04-0212/055,ЦТП,ОДС №15-Вешняки,"{coordinates=[[[37.79708055, 55.725405794], [37.797500442, 55.725266459], [37.797230248, 55.724999454], [37.797074655, 55.725048333], [37.797212625, 55.725193505], [37.797266611, 55.725177206], [37.797295474, 55.725205879], [37.796981143, 55.725309032], [37.79708055, 55.725405794]]], type=Polygon}","{coordinates=[37.797361062, 55.725199692], type=Point}",1.0,5.0,143494705.0
"город Москва, улица Красный Казанец, дом 7","Снайперская ул., д.14, стр.1",ТЭЦ №22,ПАО «МОЭК»,11746.0,04-04-0212/002,ЦТП,ОДС №15-Вешняки,"{coordinates=[[[37.808578467, 55.720690263], [37.807456379, 55.721067168], [37.807554981, 55.721160781], [37.807673221, 55.721120966], [37.807695668, 55.721142466], [37.807766297, 55.721118936], [37.80774385, 55.721097436], [37.807962082, 55.721024586], [37.807984533, 55.721046535], [37.808063097, 55.72102029], [37.80803985, 55.720998343], [37.808223951, 55.720935907], [37.808252014, 55.720963231], [37.808339299, 55.720933372], [37.808311241, 55.720906496], [37.808509627, 55.720839533], [37.808538486, 55.720866856], [37.808618636, 55.720840158], [37.808589777, 55.720812836], [37.80867707, 55.720783875], [37.808578467, 55.720690263]]], type=Polygon}","{coordinates=[37.80810999, 55.720919934], type=Point}",1.0,5.0,143494705.0
"город Москва, Снайперская улица, дом 2, корпус 2","Снайперская ул., д.2, стр.3",ТЭЦ №22,ПАО «МОЭК»,65067.0,04-04-0212/074,ЦТП,ОДС №15-Вешняки,"{coordinates=[[[37.815947521, 55.724915486], [37.815915423, 55.724854379], [37.815920445, 55.724853573], [37.815888326, 55.724794394], [37.815884239, 55.724795014], [37.815850882, 55.724731511], [37.815818441, 55.724737146], [37.815806341, 55.724711978], [37.815731651, 55.724724475], [37.815669577, 55.724702099], [37.81564449, 55.72465404], [37.815611824, 55.724659001], [37.815602529, 55.724641209], [37.81548364, 55.7246611], [37.81548292, 55.724659217], [37.815356186, 55.724680362], [37.815357224, 55.72468225], [37.815250107, 55.724700172], [37.815258789, 55.724716791], [37.815227536, 55.724722583], [37.815274165, 55.724811358], [37.815310475, 55.724805494], [37.815320484, 55.724826464], [37.815426828, 55.724808672], [37.815442953, 55.724840543], [37.815544586, 55.724823574], [37.815528735, 55.724791622], [37.815636634, 55.72477357], [37.815668382, 55.72483401], [37.815605647, 55.724844447], [37.815631199, 55.724896575], [37.815695443, 55.724885532], [37.815730803, 55.724952847], [37.815766431, 55.724946741], [37.815777609, 55.724968742], [37.815927376, 55.724943685], [37.815916313, 55.724921093], [37.815947521, 55.724915486]]], type=Polygon}","{coordinates=[37.815400675, 55.724800254], type=Point}",1.0,5.0,143494705.0
"город Москва, улица Красный Казанец, дом 3, корпус 4","ул. Красный Казанец, д.1, корп.1, стр.1",ТЭЦ №22,ПАО «МОЭК»,11742.0,04-04-0212/001,ЦТП,ОДС №15-Вешняки,"{coordinates=[[[37.807509178, 55.723355938], [37.807540544, 55.723373486], [37.807527885, 55.723382499], [37.807635129, 55.72346127], [37.807598649, 55.72347708], [37.807641865, 55.723508408], [37.807678344, 55.723492598], [37.807823995, 55.723598667], [37.807790691, 55.723613121], [37.807839511, 55.723648927], [37.807872817, 55.723634473], [37.808022473, 55.723743676], [37.807982827, 55.723761289], [37.808002037, 55.723775612], [37.808037246, 55.723800672], [37.808076893, 55.723783059], [37.808216954, 55.723885998], [37.808184443, 55.72390045], [37.808236461, 55.723938044], [37.808268971, 55.723923591], [37.808328197, 55.723967004], [37.80848677, 55.723894751], [37.80768724, 55.723308449], [37.807635689, 55.723330134], [37.807588313, 55.723307053], [37.807509178, 55.723355938]]], type=Polygon}","{coordinates=[37.808012205, 55.7236417], type=Point}",1.0,5.0,143494705.0
"город Москва, улица Красный Казанец, дом 3, корпус 7","ул. Красный Казанец, д.3, корп.7",ТЭЦ №22,ПАО «МОЭК»,250004.0,04-04-0212/087,ИТП,ОДС №15-Вешняки,"{coordinates=[[[37.804178172, 55.724599318], [37.804036394, 55.724664148], [37.80480531, 55.725180701], [37.804949326, 55.725112414], [37.804907218, 55.725084132], [37.804928805, 55.725073894], [37.804758651, 55.724959631], [37.804740282, 55.724968344], [37.804668187, 55.72491994], [37.804688614, 55.724910248], [37.804516834, 55.724794934], [37.804493473, 55.724806018], [37.804405321, 55.724746853], [37.804423603, 55.724738175], [37.804249908, 55.724621619], [37.804227363, 55.724632322], [37.804178172, 55.724599318]]], type=Polygon}","{coordinates=[37.804468066, 55.724858133], type=Point}",1.0,5.0,143494705.0
"город Москва, улица Молдагуловой, дом 8, корпус 2","ул. Молдагуловой, д.8, корп.2, стр.2",ТЭЦ №22,ПАО «МОЭК»,14944.0,04-04-0212/012,ЦТП,ОДС №15-Вешняки,"{coordinates=[[[37.811172071, 55.72666605], [37.811119533, 55.726563789], [37.811156088, 55.72655741], [37.811133466, 55.726514804], [37.811096913, 55.726521184], [37.811040349, 55.726413096], [37.810795579, 55.726454133], [37.810927298, 55.726707088], [37.811172071, 55.72666605]]], type=Polygon}","{coordinates=[37.810994415, 55.7265606], type=Point}",1.0,5.0,143494705.0
"город Москва, Открытое шоссе, дом 17, корпус 1","Открытое шоссе, д.17, корп.1, стр.2",ТЭЦ №23,ПАО «МОЭК»,18084.0,04-01-0605/021,ИТП,ОДС №15-Метрогородок,"{coordinates=[[[37.75049848, 55.821007985], [37.75036342, 55.821115198], [37.750816418, 55.821295644], [37.750951475, 55.821188431], [37.75049848, 55.821007985]]], type=Polygon}","{coordinates=[37.750657448, 55.821151814], type=Point}",1.0,4.0,143494707.0
"город Москва, Открытое шоссе, дом 23, корпус 7","Открытое шоссе, д.23, корп.6, стр.2",ТЭЦ №23,ПАО «МОЭК»,18124.0,04-01-0605/004,ЦТП,ОДС №15-Метрогородок,"{coordinates=[[[37.751902091, 55.826103901], [37.750559527, 55.826249226], [37.750597735, 55.826360648], [37.750711126, 55.826348452], [37.750826041, 55.826335956], [37.751065512, 55.826310083], [37.751172828, 55.826298463], [37.751405199, 55.826273464], [37.7517373, 55.82623742], [37.751844118, 55.826225798], [37.7519403, 55.826215321], [37.751902091, 55.826103901]]], type=Polygon}","{coordinates=[37.751256497, 55.826231609], type=Point}",1.0,4.0,143494707.0
"город Москва, Открытое шоссе, дом 21, корпус 7","Открытое шоссе, д.21, корп.13, стр.1",ТЭЦ №23,ПАО «МОЭК»,18109.0,04-01-0605/007,ЦТП,ОДС №15-Метрогородок,"{coordinates=[[[37.753964282, 55.82404818], [37.753778578, 55.824080789], [37.753821639, 55.824158834], [37.753912376, 55.824322613], [37.754005169, 55.824490669], [37.754092818, 55.824649334], [37.754170235, 55.824788899], [37.754188162, 55.824821367], [37.754209176, 55.824858969], [37.754394883, 55.82482636], [37.753964282, 55.82404818]]], type=Polygon}","{coordinates=[37.754060703, 55.824406641], type=Point}",1.0,4.0,143494707.0
"город Москва, Открытое шоссе, дом 23, корпус 5","Открытое шоссе, д.23, корп.4, стр.1",ТЭЦ №23,ПАО «МОЭК»,240031.0,04-01-0605/029,ЦТП,ОДС №15-Метрогородок,"{coordinates=[[[37.750165141, 55.826109844], [37.750395337, 55.826088724], [37.750375755, 55.826017817], [37.750435972, 55.826012358], [37.750418094, 55.825947025], [37.750357646, 55.825952368], [37.750331318, 55.825847417], [37.750392113, 55.825841168], [37.750372056, 55.825775703], [37.750307429, 55.825780052], [37.750282533, 55.825678156], [37.750346, 55.825674107], [37.750324822, 55.825606152], [37.750267179, 55.825612603], [37.750244003, 55.825540725], [37.750012752, 55.825560542], [37.750165141, 55.826109844]]], type=Polygon}","{coordinates=[37.750232439, 55.82581061], type=Point}",1.0,4.0,143494707.0
